s,Accuracy,Precision,Recall,F1-score,Time
10,99.9,99.26,99.26,99.26,2.9586873054504395
10,100.0,100.0,100.0,100.0,2.720823287963867
10,99.9,98.54,100.0,99.26,2.7350406646728516
10,99.95,99.26,100.0,99.63,2.9266834259033203
10,99.8,98.52,98.52,98.52,2.89505934715271
50,99.7,96.39999999999999,99.26,97.81,2.819950580596924
50,99.95,100.0,99.26,99.63,2.805913209915161
50,98.91,99.13,84.44,91.2,2.5882441997528076
50,98.86,95.89999999999999,86.67,91.05,2.6575324535369873
50,99.65,97.76,97.04,97.39999999999999,2.744654655456543
250,99.65,95.07,100.0,97.47,2.589773178100586
250,99.85000000000001,97.83,100.0,98.9,2.568002223968506
250,99.8,97.81,99.26,98.53,2.526482343673706
250,99.8,97.11999999999999,100.0,98.54,2.5095841884613037
250,99.65,95.71,99.26,97.45,2.6023528575897217
1000,99.2,89.4,100.0,94.41000000000001,2.4479384422302246
1000,99.4,91.84,100.0,95.74000000000001,2.6103599071502686
1000,99.5,94.96,97.78,96.35000000000001,2.4575376510620117
1000,99.85000000000001,97.83,100.0,98.9,2.6417431831359863
1000,99.55000000000001,100.0,93.33,96.55,2.5479512214660645
